# Quranic Arabic word frequency list (top words)
# Derived from public-domain Quran text
# Format: word<TAB>frequency
ال	28347
في	17022
من	11955
على	10197
على	10197
الله	2699
أن	1957
ما	1942
كان	1749
قال	1722
إن	1683
لا	1475
إلى	1339
هم	1119
الذين	1079
هو	1060
عن	758
لكم	627
رب	486
الأرض	463
يوم	403
يوم	403
رسول	339
السموات	310
عذاب	306
حق	247
الناس	241
ذلك	230
كتاب	230
قد	155
كفروا	154
مؤمنين	154
كافرين	154
النار	145
موسى	136
رحمة	114
رحيم	114
عظيم	92
غفور	91
عليم	87
يعملون	76
ظالمين	74
نعم	70
القيامة	70
إبراهيم	69
جنات	66
جنة	66
صالحات	57
الساعة	48
حكيم	48
يؤمنون	47
ولي	47
سميع	46
بصير	42
كبير	39
كفر	38
باطل	36
فاسقين	36
صالحين	30
مشركين	26
عيسى	25
طيبات	23
منافقين	20
صالح	18
متقين	17
طيب	17
تقوى	16
مسلمين	16
حميد	14
عدل	13
كاذبين	13
صادقين	12
ظلم	11
محسنين	10
صديق	8
صبر	7
مفسدين	7
صابرين	6
خبيث	5
مصلحين	5
محمد	4
شاكر	3
مسيئين	3
شكور	2
خبائث	1
